Currency,YYYYMMDD_HHMMSS,Open,High,Low,Close,Volume,WAP,Count,Minute,Tesla3,Tesla6,Tesla9,Decision,EXECUTE
CHF,20200616  09:30:00,1.0574,1.0583,1.0573,1.0583,269,1.0578,111,30,0.408462,0.81675,1.225584,BUY,NO
CHF,20200616  09:35:00,1.0584,1.0586,1.0571,1.0573,341,1.05779,176,35,0.408432,0.816756,0.919233,BUY,NO
CHF,20200616  09:40:00,1.0573,1.0573,1.0568,1.0568,233,1.05698,95,40,0.407442,0.81483,0.609993,NO,NO
CHF,20200616  09:45:00,1.0568,1.057,1.0563,1.0563,156,1.05672,100,45,0.407094,0.814272,0.303435,NO,NO
CHF,20200616  09:50:00,1.0564,1.0564,1.0557,1.0558,170,1.05597,97,50,0.406179,0.812664,-0.004869,NO,NO
CHF,20200616  09:55:00,1.0558,1.056,1.0555,1.056,92,1.05574,71,55,0.405918,0.607902,-0.00405,NO,NO
CHF,20200616  10:00:00,1.056,1.056,1.0549,1.0552,185,1.05535,104,0,0.405459,0.40275,-0.003609,SELL,NO
CHF,20200616  10:05:00,1.0552,1.0553,1.0549,1.0551,136,1.05519,91,5,0.4053,0.198618,-0.002718,SELL,NO
CHF,20200616  10:10:00,1.055,1.0552,1.0546,1.0546,114,1.05496,68,10,0.40512,-0.00567,-0.002169,NO,NO
CHF,20200616  10:15:00,1.0546,1.0547,1.0535,1.0536,267,1.05418,156,15,0.302079,-0.006444,-0.004068,NO,NO
CHF,20200616  10:20:00,1.0536,1.0538,1.0534,1.0537,210,1.05364,108,20,0.199323,-0.00651,-0.004608,NO,NO
CHF,20200616  10:25:00,1.0538,1.0544,1.0538,1.0538,224,1.05406,121,25,0.097953,-0.004524,-0.001557,NO,NO
CHF,20200616  10:30:00,1.0539,1.0544,1.0539,1.0542,269,1.05408,115,30,-0.003891,-0.003558,-0.000468,BUY,NO
CHF,20200616  10:35:00,1.0542,1.0544,1.0539,1.0543,391,1.05409,199,35,-0.00333,-0.002928,0.00036,BUY,NO
CHF,20200616  10:40:00,1.0543,1.0543,1.0537,1.0537,422,1.05402,230,40,-0.002799,-0.00216,0.000189,BUY,NO
CHF,20200616  10:45:00,1.0538,1.0538,1.0532,1.0536,293,1.05347,152,45,-0.00297,-0.002454,-0.002133,BUY,NO
CHF,20200616  10:50:00,1.0537,1.0538,1.0528,1.0537,280,1.05328,154,50,-0.002739,-0.002232,-0.002286,NO,NO
CHF,20200616  10:55:00,1.0535,1.0545,1.0533,1.0543,427,1.05412,209,55,-0.001428,0.000312,0.001458,BUY,NO
CHF,20200616  11:00:00,1.0542,1.0543,1.0534,1.0537,359,1.05373,170,0,-0.001428,-0.00057,2.7E-05,BUY,NO
CHF,20200616  11:05:00,1.0538,1.054,1.0537,1.0539,234,1.05384,128,5,-0.000783,-0.000534,0.000684,BUY,NO
CHF,20200616  11:10:00,1.0539,1.0544,1.0537,1.0542,176,1.05415,88,10,-7.2E-05,0.000564,0.001467,BUY,NO
CHF,20200616  11:15:00,1.0543,1.0544,1.0541,1.0541,72,1.05419,50,15,0.00024,0.00114,0.000828,NO,NO
CHF,20200616  11:20:00,1.0539,1.0546,1.0539,1.0546,120,1.05422,63,20,0.000303,0.001194,0.000873,NO,NO
CHF,20200616  11:25:00,1.0546,1.0552,1.0546,1.0552,130,1.05488,60,25,0.000981,0.002952,0.002808,NO,NO
CHF,20200616  11:30:00,1.0554,1.0555,1.0551,1.0555,119,1.05525,54,30,0.001602,0.003618,0.003204,NO,NO
CHF,20200616  11:35:00,1.0555,1.0557,1.0552,1.0552,115,1.05538,57,35,0.001998,0.003408,0.002682,NO,NO
CHF,20200616  11:40:00,1.0552,1.0553,1.055,1.0553,99,1.05511,48,40,0.001665,0.002718,0.000639,NO,NO
CHF,20200616  11:45:00,1.0552,1.0555,1.0551,1.0555,77,1.05523,44,45,0.001896,0.002712,0.00027,NO,NO
CHF,20200616  11:50:00,1.0555,1.0557,1.0554,1.0554,71,1.05552,41,50,0.002133,0.002784,0.000999,NO,NO
CHF,20200616  11:55:00,1.0555,1.0561,1.0555,1.0561,101,1.05576,50,55,0.00216,0.0027,0.00162,NO,NO
CHF,20200616  12:00:00,1.0561,1.0565,1.0561,1.0565,93,1.05623,50,0,0.002703,0.003114,0.00297,NO,NO
CHF,20200616  12:05:00,1.0566,1.0566,1.0562,1.0565,42,1.05634,25,5,0.002688,0.002844,0.002358,NO,NO
CHF,20200616  12:10:00,1.0565,1.0566,1.0563,1.0565,48,1.05644,31,10,0.002496,0.002874,0.001719,NO,NO
CHF,20200616  12:15:00,1.0564,1.0564,1.0562,1.0563,41,1.05634,22,15,0.002046,0.002472,0.000531,NO,NO
CHF,20200616  12:20:00,1.0564,1.0566,1.0564,1.0564,58,1.05646,19,20,0.001833,0.002532,0.000441,NO,NO
CHF,20200616  12:25:00,1.0564,1.0564,1.0558,1.0559,81,1.05615,59,25,0.001194,0.001116,-0.000882,SELL,NO
