Currency,YYYYMMDD_HHMMSS,Open,High,Low,Close,Volume,WAP,Count,Minute,Tesla3,Tesla6,Tesla9,Decision,EXECUTE
EUR,20200616  09:30:00,1.13065,1.13085,1.1302,1.1306,1365,1.13053,556,30,0.035961,0.072054,0.107361,BUY,NO
EUR,20200616  09:35:00,1.13065,1.13075,1.12985,1.13035,1287,1.1303,586,35,0.035688,0.071448,0.079596,BUY,NO
EUR,20200616  09:40:00,1.1304,1.13085,1.1301,1.1305,1260,1.13049,531,40,0.03594,0.07176,0.053667,NO,NO
EUR,20200616  09:45:00,1.1305,1.13095,1.13025,1.1303,1001,1.130645,430,45,0.036144,0.072036,0.027396,NO,NO
EUR,20200616  09:50:00,1.1303,1.13045,1.129,1.1294,3098,1.1295,1037,50,0.034791,0.069102,-0.0035685,NO,NO
EUR,20200616  09:55:00,1.1294,1.12975,1.1289,1.1293,1447,1.12931,534,55,0.034536,0.050688,-0.0033255,NO,NO
EUR,20200616  10:00:00,1.1293,1.1294,1.1286,1.1292,2122,1.128935,817,0,0.034014,0.032046,-0.0037845,SELL,NO
EUR,20200616  10:05:00,1.1292,1.1298,1.12865,1.1287,1904,1.129255,746,5,0.03435,0.014928,-0.001233,SELL,NO
EUR,20200616  10:10:00,1.1287,1.129,1.1283,1.129,1316,1.128735,528,10,0.033633,-0.004215,-0.001854,NO,NO
EUR,20200616  10:15:00,1.129,1.12925,1.12695,1.1271,2920,1.12805,1077,15,0.023832,-0.005241,-0.0036315,NO,NO
EUR,20200616  10:20:00,1.12705,1.1279,1.12685,1.1279,2215,1.127275,907,20,0.014031,-0.006507,-0.0052875,NO,NO
EUR,20200616  10:25:00,1.12785,1.12845,1.12775,1.12795,1302,1.128135,555,25,0.00612,-0.00351,-0.0006975,NO,NO
EUR,20200616  10:30:00,1.128,1.12845,1.12765,1.12815,1133,1.128075,509,30,-0.0028995,-0.00282,9.45E-05,BUY,NO
EUR,20200616  10:35:00,1.12815,1.12825,1.1268,1.12735,2664,1.127505,1100,35,-0.0032745,-0.003729,-0.0013635,NO,NO
EUR,20200616  10:40:00,1.1273,1.1273,1.12605,1.12675,2941,1.126735,1275,40,-0.0039015,-0.004821,-0.003645,NO,NO
EUR,20200616  10:45:00,1.1268,1.12695,1.12585,1.1268,2279,1.12635,963,45,-0.003897,-0.004749,-0.004545,NO,NO
EUR,20200616  10:50:00,1.12685,1.127,1.12555,1.12615,3534,1.126245,1372,50,-0.003606,-0.004329,-0.0033165,NO,NO
EUR,20200616  10:55:00,1.1261,1.1268,1.12545,1.12605,3105,1.12616,1416,55,-0.0034785,-0.004137,-0.0019755,NO,NO
EUR,20200616  11:00:00,1.126,1.12615,1.1251,1.12615,3810,1.12558,1567,0,-0.0037965,-0.005202,-0.002853,NO,NO
EUR,20200616  11:05:00,1.1262,1.1269,1.126,1.12675,2764,1.126525,1133,5,-0.0021645,-0.00261,0.0015885,NO,NO
EUR,20200616  11:10:00,1.1268,1.12745,1.12615,1.1274,1763,1.12676,802,10,-0.0015465,-0.000975,0.002277,BUY,NO
EUR,20200616  11:15:00,1.1274,1.12795,1.127,1.127,2141,1.12754,842,15,-0.0004125,0.001995,0.0046215,BUY,NO
EUR,20200616  11:20:00,1.127,1.1281,1.12675,1.12805,2277,1.12755,848,20,-0.000237,0.002826,0.0034155,BUY,NO
EUR,20200616  11:25:00,1.12805,1.1284,1.12785,1.1282,1298,1.12806,522,25,0.000537,0.004743,0.0034785,NO,NO
