Currency,YYYYMMDD_HHMMSS,Open,High,Low,Close,Volume,WAP,Count,Minute,Tesla3,Tesla6,Tesla9,Decision,EXECUTE
GBP,20200616  09:30:00,1.2647,1.2652,1.2645,1.2647,898,1.26482,256,30,0.0964485,0.192693,0.288324,BUY,NO
GBP,20200616  09:35:00,1.2648,1.2648,1.2632,1.2635,813,1.26386,280,35,0.09531,0.190299,0.212634,BUY,NO
GBP,20200616  09:40:00,1.2636,1.2641,1.2626,1.2637,952,1.26332,322,40,0.0946545,0.188913,0.139419,NO,NO
GBP,20200616  09:45:00,1.2637,1.2646,1.2633,1.2633,712,1.26418,324,45,0.0956355,0.190845,0.071865,NO,NO
GBP,20200616  09:50:00,1.2632,1.2637,1.2627,1.263,1118,1.26309,415,50,0.0942705,0.188064,-0.003438,NO,NO
GBP,20200616  09:55:00,1.2634,1.2634,1.2622,1.2629,668,1.26267,253,55,0.0937215,0.1389,-0.003393,NO,NO
GBP,20200616  10:00:00,1.263,1.2635,1.2627,1.2634,672,1.26306,268,0,0.0941445,0.092322,-0.000918,SELL,NO
GBP,20200616  10:05:00,1.2634,1.2643,1.2633,1.2634,936,1.26376,316,5,0.0949185,0.046902,0.001836,SELL,NO
GBP,20200616  10:10:00,1.2633,1.2641,1.2628,1.2641,662,1.26357,263,10,0.094608,-0.00114,0.00153,NO,NO
GBP,20200616  10:15:00,1.2642,1.2649,1.262,1.2625,1161,1.26351,406,15,0.070458,-0.000246,0.000882,NO,NO
GBP,20200616  10:20:00,1.2624,1.2626,1.261,1.2623,1652,1.26174,588,20,0.044577,-0.00378,-0.006246,SELL,NO
GBP,20200616  10:25:00,1.2623,1.2637,1.2623,1.2632,726,1.26312,275,25,0.022683,-0.000312,-9E-05,NO,NO
GBP,20200616  10:30:00,1.2633,1.2636,1.2625,1.263,629,1.26306,245,30,-0.001182,-0.000204,0.00027,BUY,NO
GBP,20200616  10:35:00,1.263,1.2631,1.262,1.2623,1320,1.26254,526,35,-0.001287,-0.00174,-0.001143,NO,NO
GBP,20200616  10:40:00,1.2621,1.2622,1.2598,1.2604,1399,1.26074,586,40,-0.00309,-0.006564,-0.00675,SELL,EXECUTE
GBP,20200616  10:45:00,1.2604,1.2604,1.2586,1.2596,2260,1.25927,738,45,-0.004776,-0.0093,-0.011142,SELL,NO
GBP,20200616  10:50:00,1.2596,1.2599,1.2569,1.258,2319,1.2583,788,50,-0.005814,-0.011244,-0.011169,NO,NO
GBP,20200616  10:55:00,1.2579,1.2583,1.2563,1.2573,2756,1.25744,1002,55,-0.00699,-0.013002,-0.009981,NO,NO
GBP,20200616  11:00:00,1.2573,1.2578,1.2558,1.2574,2249,1.257,872,0,-0.00777,-0.013476,-0.006975,NO,NO
GBP,20200616  11:05:00,1.2575,1.2582,1.2567,1.258,1625,1.25741,667,5,-0.006882,-0.011892,-0.002133,NO,NO
GBP,20200616  11:10:00,1.258,1.2586,1.2568,1.2585,1071,1.25768,466,10,-0.006366,-0.008934,0.000513,NO,NO
GBP,20200616  11:15:00,1.2585,1.2593,1.2581,1.2581,1150,1.2588,457,15,-0.004869,-0.00339,0.005103,BUY,NO
GBP,20200616  11:20:00,1.258,1.2587,1.2576,1.2586,748,1.25813,306,20,-0.005382,-0.001938,0.001467,BUY,NO
GBP,20200616  11:25:00,1.2585,1.2597,1.2585,1.2594,984,1.25901,342,25,-0.004026,0.002418,0.003618,BUY,NO
GBP,20200616  11:30:00,1.2595,1.26,1.259,1.2598,903,1.25947,333,30,-0.002319,0.004638,0.003834,NO,NO
GBP,20200616  11:35:00,1.2598,1.26,1.2585,1.2588,737,1.25914,306,35,-0.001287,0.004218,0.001035,NO,NO
GBP,20200616  11:40:00,1.2588,1.2588,1.258,1.2582,562,1.25843,232,40,-0.000609,0.001698,-0.001827,NO,NO
GBP,20200616  11:45:00,1.2584,1.259,1.2581,1.2587,536,1.25848,247,45,0.000573,0.00114,-0.001917,NO,NO
GBP,20200616  11:50:00,1.2587,1.2591,1.258,1.2585,629,1.25841,261,50,0.001047,1.2E-05,-0.001692,SELL,NO
GBP,20200616  11:55:00,1.2586,1.259,1.2582,1.2588,513,1.25852,224,55,0.001365,-0.000798,-0.000342,NO,NO
GBP,20200616  12:00:00,1.2588,1.2593,1.2586,1.2592,414,1.25897,179,0,0.001497,7.8E-05,0.001836,NO,NO
GBP,20200616  12:05:00,1.2593,1.2598,1.2588,1.2597,740,1.25924,302,5,0.001482,0.000546,0.002322,NO,NO
GBP,20200616  12:10:00,1.2596,1.2597,1.2593,1.2597,277,1.2595,142,10,0.001314,0.001488,0.002574,BUY,NO
GBP,20200616  12:15:00,1.2597,1.2598,1.2593,1.2595,162,1.25953,90,15,0.000813,0.002196,0.001701,NO,NO
GBP,20200616  12:20:00,1.2596,1.26,1.2595,1.2599,222,1.25977,104,20,0.000999,0.003144,0.001656,NO,NO
GBP,20200616  12:25:00,1.2599,1.2602,1.2598,1.2598,241,1.25998,94,25,0.001161,0.003324,0.001692,NO,NO
GBP,20200616  12:30:00,1.2597,1.2606,1.2597,1.2606,253,1.26033,119,30,0.00174,0.003708,0.002286,NO,NO
GBP,20200616  12:35:00,1.2605,1.2613,1.2605,1.2611,483,1.26094,151,35,0.00279,0.004518,0.003735,NO,NO
GBP,20200616  12:40:00,1.2611,1.2618,1.261,1.2615,574,1.26141,196,40,0.00354,0.00504,0.004158,NO,NO
GBP,20200616  12:45:00,1.2615,1.2616,1.2609,1.2609,197,1.26117,100,45,0.00309,0.003984,0.001818,NO,NO
GBP,20200616  12:50:00,1.2609,1.2609,1.2605,1.2605,297,1.26061,114,50,0.00219,0.002196,-0.001269,NO,NO
GBP,20200616  12:55:00,1.2605,1.2606,1.2599,1.2599,603,1.26023,209,55,0.001407,0.000786,-0.002889,SELL,NO
GBP,20200616  13:00:00,1.2599,1.26,1.2593,1.2593,441,1.25974,188,0,0.000516,-0.001236,-0.004014,SELL,NO
GBP,20200616  13:05:00,1.2593,1.2594,1.2589,1.2591,257,1.2592,91,5,-0.000372,-0.003516,-0.004455,SELL,NO
